Strain,Biolector well,Biolector column,Biolector row,Cycle,Time,Feeding time,Volume,Accum. feed [uL],Biomass concentration [light scatter],DO%,Sample volume
Yeast_strain_1,F01,01,F,153.0,15.302800178527832,1.0,801.44,1.44,3.490000009536743,149.0399932861328,0.0
Yeast_strain_1,F02,02,F,153.0,15.302800178527832,1.0,801.44,1.44,3.569999933242798,148.2899932861328,0.0
Yeast_strain_2,F03,03,F,153.0,15.302800178527832,1.0,801.44,1.44,3.910000085830689,147.5,0.0
Yeast_strain_2,F04,04,F,153.0,15.302800178527832,1.0,801.44,1.44,3.619999885559082,148.32000732421875,0.0
Yeast_strain_3,F05,05,F,153.0,15.302800178527832,1.0,801.44,1.44,3.7899999618530273,148.2100067138672,0.0
Yeast_strain_3,F06,06,F,153.0,15.302800178527832,1.0,801.44,1.44,3.470000028610229,147.5800018310547,0.0
Yeast_strain_1,C01,01,C,154.0,15.402799606323242,1.0999994277954102,801.6,1.6,2.859999895095825,147.16000366210938,0.0
Yeast_strain_1,C02,02,C,154.0,15.402799606323242,1.0999994277954102,801.6,1.6,2.859999895095825,147.7100067138672,0.0
Yeast_strain_2,C03,03,C,154.0,15.402799606323242,1.0999994277954102,801.6,1.6,2.900000095367432,147.8300018310547,0.0
Yeast_strain_2,C04,04,C,154.0,15.402799606323242,1.0999994277954102,801.6,1.6,2.950000047683716,147.4499969482422,0.0
Yeast_strain_3,C05,05,C,154.0,15.402799606323242,1.0999994277954102,801.6,1.6,3.069999933242798,148.27999877929688,0.0
Yeast_strain_3,C06,06,C,154.0,15.402799606323242,1.0999994277954102,801.6,1.6,3.0299999713897705,147.67999267578125,0.0
Yeast_strain_1,D01,01,D,154.0,15.402799606323242,1.0999994277954102,801.6,1.6,3.309999942779541,148.5800018310547,0.0
Yeast_strain_1,D02,02,D,154.0,15.402799606323242,1.0999994277954102,801.6,1.6,3.430000066757202,147.0800018310547,0.0
Yeast_strain_2,D03,03,D,154.0,15.402799606323242,1.0999994277954102,801.6,1.6,3.3499999046325684,147.75999450683594,0.0
Yeast_strain_2,D04,04,D,154.0,15.402799606323242,1.0999994277954102,801.6,1.6,3.4100000858306885,148.1300048828125,0.0
