Kc_s,mu_max,Yxs,Yxp,Yxco2,F0,mu0,s_f,sample_volume,timestamp,m_Glucose,m_Biomass,m_Product,m_CO2,v_Volume,v_Feed_accum,m_CO2_gas,c_Glucose,c_Biomass,c_Product,c_CO2,mu_true
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,36.996996996997,38.24756175213666,7547.977249353457,6047.3901498165815,0.0,509.62468909835394,189.62468909835385,462.8820726761008,0.07505044902711759,14.810854754128192,11.866360243487886,0.0,0.10004483352718084
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,37.05705705705705,38.270382260475714,7593.468730897933,6084.761868041798,0.0,510.4665097120101,190.46650971201,464.9379843249656,0.0749713870202116,14.875547340376825,11.920002100577838,0.0,0.09997456300539603
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,37.11711711711712,38.345920933617,7639.20583468867,6122.335367459132,0.0,511.31340151887014,191.31340151887005,467.0049964616616,0.07499494599537078,14.940359106560095,11.973743205776675,0.0,0.09999550745052795
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,37.17717717717718,38.425953410836414,7685.216279261521,6160.133419129806,0.0,512.1653950682401,192.16539506824,469.0843617791946,0.07502645391674032,15.005340761527934,12.027625213353275,0.0,0.10002351182830273
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,37.23723723723724,38.45216521524544,7731.533247212951,6198.183282896828,0.0,513.0225210933856,193.02252109338554,471.17757990967795,0.07495219729007954,15.07055329800147,12.081698225814478,0.0,0.09995749967282266
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,37.2972972972973,38.575815091352595,7778.0766483270045,6236.419163827132,0.0,513.8848105127568,193.8848105127566,473.28103130935625,0.07506704674314359,15.135836843603144,12.135830902657743,0.0,0.10005957935123225
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,37.35735735735736,38.57780499257328,7824.966595314917,6274.939735743756,0.0,514.7522944310452,194.7522944310452,475.4001442719195,0.0749444060957771,15.201421499177265,12.190212270310392,0.0,0.09995057098312617
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,37.41741741741742,38.696316352100446,7872.076032918198,6313.640621449952,0.0,515.6250041403013,195.62500414030114,477.5291767468316,0.07504740080752795,15.267056426100334,12.24463625843097,0.0,0.10004212517661423
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,37.47747747747748,38.72243768368921,7919.519587918864,6352.615988021693,0.0,516.5029711211295,196.50297112112938,479.6733091003596,0.07497040646182088,15.332960371415929,12.299282566047209,0.0,0.0999736911724128
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,37.53753753753754,38.804563081771114,7967.218759194336,6391.801345982404,0.0,517.3862270437065,197.3862270437064,481.82899360517314,0.07500115204746854,15.398977287660385,12.354022994590563,0.0,0.10000102403695098
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,37.5975975975976,38.87832487540044,8015.210062298536,6431.226693233794,0.0,518.2748037690704,198.27480376907042,483.9978805208403,0.07501488513943579,15.46517408141242,12.408912504454642,0.0,0.10001323035978402
0.15,0.3,1.85,0.8215102466751038,0.04519333244521413,0.06288149827789205,0.1,100.0,NaN,37.65765765765765,38.91788865044472,8063.5091943688285,6470.904925135054,0.0,519.1687333501213,199.16873335012127,486.1806792533083,0.07496192692366732,15.531577070013752,12.463972711490605,0.0,0.09996615153785948
